08/13/2026 14:32:45.420 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::AshitaCore | .ctor
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize | <Begin>
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize | Starting initialization...
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Install Path : C:\Ashita-v4Radix\
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Config Script: \boot\retail.ini
08/13/2026 14:32:45.420 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Ashita-v4Radix\\config\boot\retail.ini
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize | >> BOOT CONFIGURATION DUMP <<
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize | [ashita.launcher]
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |   autoclose : 1
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |   name : Example Configuration
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize | [ashita.boot]
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |   file : 
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |   gamemodule : ffximain.dll
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |   script : defaultDesktop.txt
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |   args : 
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize | [ashita.fonts]
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |   d3d8.disable_scaling : 0
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |   d3d8.family : Arial
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |   d3d8.height : 10
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize | [ashita.input]
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |   gamepad.allowbackground : 0
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |   gamepad.disableenumeration : 0
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockinput : 0
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockbindsduringinput : 1
08/13/2026 14:32:45.420 | DEBUG    |                             AshitaCore::Initialize |   keyboard.silentbinds : 1
