03/29/2026 17:59:03.994 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
03/29/2026 17:59:03.995 | DEBUG    |                             AshitaCore::AshitaCore | .ctor
03/29/2026 17:59:03.995 | DEBUG    |                             AshitaCore::Initialize | <Begin>
03/29/2026 17:59:03.995 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
03/29/2026 17:59:03.995 | DEBUG    |                             AshitaCore::Initialize | Starting initialization...
03/29/2026 17:59:03.996 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Install Path : C:\Program Files (x86)\Ashita-v4Radix\
03/29/2026 17:59:03.996 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Config Script: \boot\retail-mac.ini
03/29/2026 17:59:03.996 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Program Files (x86)\Ashita-v4Radix\\config\boot\retail-mac.ini
03/29/2026 17:59:04.000 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
03/29/2026 17:59:04.000 | DEBUG    |                             AshitaCore::Initialize | >> BOOT CONFIGURATION DUMP <<
03/29/2026 17:59:04.001 | DEBUG    |                             AshitaCore::Initialize | [ashita.launcher]
03/29/2026 17:59:04.001 | DEBUG    |                             AshitaCore::Initialize |   autoclose : 1
03/29/2026 17:59:04.001 | DEBUG    |                             AshitaCore::Initialize |   name : Example Configuration
03/29/2026 17:59:04.001 | DEBUG    |                             AshitaCore::Initialize | [ashita.boot]
03/29/2026 17:59:04.001 | DEBUG    |                             AshitaCore::Initialize |   file : 
03/29/2026 17:59:04.001 | DEBUG    |                             AshitaCore::Initialize |   gamemodule : ffximain.dll
03/29/2026 17:59:04.001 | DEBUG    |                             AshitaCore::Initialize |   script : default.txt
03/29/2026 17:59:04.001 | DEBUG    |                             AshitaCore::Initialize |   args : 
03/29/2026 17:59:04.001 | DEBUG    |                             AshitaCore::Initialize | [ashita.fonts]
03/29/2026 17:59:04.001 | DEBUG    |                             AshitaCore::Initialize |   d3d8.disable_scaling : 0
03/29/2026 17:59:04.001 | DEBUG    |                             AshitaCore::Initialize |   d3d8.family : Arial
