03/30/2026 06:39:53.123 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
03/30/2026 06:39:53.124 | DEBUG    |                             AshitaCore::AshitaCore | .ctor
03/30/2026 06:39:53.124 | DEBUG    |                             AshitaCore::Initialize | <Begin>
03/30/2026 06:39:53.124 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
03/30/2026 06:39:53.124 | DEBUG    |                             AshitaCore::Initialize | Starting initialization...
03/30/2026 06:39:53.125 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Install Path : C:\Program Files (x86)\Ashita-v4Radix\
03/30/2026 06:39:53.125 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Config Script: \boot\retail-mac.ini
03/30/2026 06:39:53.125 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Program Files (x86)\Ashita-v4Radix\\config\boot\retail-mac.ini
03/30/2026 06:39:53.130 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
03/30/2026 06:39:53.130 | DEBUG    |                             AshitaCore::Initialize | >> BOOT CONFIGURATION DUMP <<
03/30/2026 06:39:53.130 | DEBUG    |                             AshitaCore::Initialize | [ashita.launcher]
03/30/2026 06:39:53.130 | DEBUG    |                             AshitaCore::Initialize |   autoclose : 1
03/30/2026 06:39:53.130 | DEBUG    |                             AshitaCore::Initialize |   name : Example Configuration
03/30/2026 06:39:53.130 | DEBUG    |                             AshitaCore::Initialize | [ashita.boot]
03/30/2026 06:39:53.130 | DEBUG    |                             AshitaCore::Initialize |   file : 
03/30/2026 06:39:53.130 | DEBUG    |                             AshitaCore::Initialize |   gamemodule : ffximain.dll
03/30/2026 06:39:53.130 | DEBUG    |                             AshitaCore::Initialize |   script : defaultMac.txt
03/30/2026 06:39:53.130 | DEBUG    |                             AshitaCore::Initialize |   args : 
03/30/2026 06:39:53.130 | DEBUG    |                             AshitaCore::Initialize | [ashita.fonts]
03/30/2026 06:39:53.130 | DEBUG    |                             AshitaCore::Initialize |   d3d8.disable_scaling : 0
